car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1.3010632720874935,103.85411804993093,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.80,Y
ACM,BLK 98A ALJUNIED CRESCENT,1.321004290105958,103.88506094761526,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.10,N
AH1,BLK 101 JALAN DUSUN,1.3282834951094042,103.84461988914597,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
AK19,BLOCK 253 ANG MO KIO STREET 21,1.369091216143557,103.83498485034086,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.00,N
AK31,BLK 302/348 ANG MO KIO ST 31,1.3661204243173264,103.84663563161604,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
AK52,BLOCK 513 ANG MO KIO ST 53,1.3724386334422438,103.85029569742512,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
AK6,BLOCK 728 ANG MO KIO AVE 6,1.374835929453353,103.84485384156172,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,1.3766782086821612,103.86384511310713,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
AK9,ANG MO KIO AVENUE 9,1.3835990576551416,103.84836808665371,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.00,N
AM14,BLK 227 ANG MO KIO ST 23,1.368741094555009,103.84030110265232,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N
AM16,BLK 256A ANG MO KIO STREET 21,1.3703498012136093,103.83571828515707,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
AM18,BLK 308C ANG MO KIO AVE 1,1.3655400127862602,103.84461939021944,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N
AM19,BLK 260 ANG MO KIO ST 21,1.3688861979339517,103.83453102382236,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N
AM20,BLK 309B ANG MO KIO ST 31,1.3646977329371157,103.84608858611787,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM22,BLK 316B ANG MO KIO STREET 31,1.3645882914751233,103.84765302635255,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM32,BLK 255A ANG MO KIO ST 21,1.3705325244610682,103.8343768155435,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N
AM43,BLK 455 ANG MO KIO ST 44,1.3686107186719911,103.85730354666772,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AM46,BLK 588 ANG MO KIO STREET 52,1.3721783233233986,103.85339638441636,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N
AM51,BLK 700 ANG MO KIO AVE 6,1.36991500171885,103.84669851649707,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM64,BLK 590 ANG MO KIO ST 51,1.3714570202946887,103.8530982460575,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM79,BLK 596 ANG MO KIO STREEET 52,1.3723282292064205,103.85132794564865,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM80,BLK 130A ANG MO KIO ST 12,1.3706469901715552,103.84186149048293,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM81,BLK 132A ANG MO KIO ST 12,1.3716392420558625,103.84194781252431,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM96,BLK 352A ANG MO KIO STREET 32,1.3640741492788182,103.85094037122893,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR1L,3 AND 5 DOVER ROAD,1.3038767185244542,103.78263177920367,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.50,N
AR1M,BLK 2A DOVER ROAD,1.3028486840208213,103.7836667743235,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
AR2L,BLK 26 AND 27 DOVER CRESCENT,1.305913234462207,103.7811546551739,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.00,N
AR2M,BLK 28 DOVER CRESCENT,1.3047388928304118,103.78167448932494,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N
AR5M,BLK 19A DOVER CRESCENT,1.3073435265931934,103.78446333008445,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR7L,12 TO 14 DOVER CLOSE EAST,1.305807720561868,103.78559113657052,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.00,N
AR7M,BLK 12A DOVER CLOSE EAST,1.3047713772680514,103.78519200383909,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AR9,BLK 20/22/23 DOVER CRESCENT,1.3072843627095632,103.78343964059559,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,1.2855825549923094,103.80321526415918,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,1.2849112856214289,103.80583744238801,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
A1,BLK 215 ANG MO KIO STREET 22,1.3667143987756925,103.84171281191239,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A10,BLK 201/202 ANG MO KIO STREET 22,1.3686329816140763,103.84452401517692,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A100,BLK 650 ANG MO KIO STREET 61,1.3779874731949413,103.8426025448423,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,1.3670355338571103,103.8381810968514,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A12,BLK 229/230 ANG MO KIO ST 22,1.3685098274818934,103.83867531323688,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A13,BLK 232/233 ANG MO KIO ST 22,1.3680002216512868,103.83680961188591,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A15,BLK 226E-226H ANG MO KIO ST 22,1.3669676105068438,103.84041745597003,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A2,BLK 206/207 ANG MO KIO STREET 22,1.3662370557741195,103.84304639719981,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A20,BLK 304/307/319 ANG MO KIO ST 31,1.3649433806415399,103.8484570918218,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A21,BLK 325/326/301 ANG MO KIO STREET 31,1.3681275586189134,103.84631322417121,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A23,BLK 347A ANG MO KIO AVENUE 3,1.367335466453611,103.8489133401171,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.90,N
A24,BLK 338/340 ANG MO KIO ST 32,1.364753411881098,103.84939765277404,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A25,BLK 330/337 ANG MO KIO AVE 8,1.362769307428514,103.85162748927682,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A26,BLK 113/114/118 ANG MO KIO AVE 4,1.3727702022189956,103.8354475641471,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A27,BLK 108/109/110 ANG MO KIO ST 11,1.3703630515467662,103.8383206515408,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A28,BLK 103/105/107 ANG MO KIO ST 11,1.3716499282813732,103.83746428814884,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A29,BLK 347 ANG MO KIO AVENUE 3,1.3672262594201794,103.84871559664532,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A30,BLK 129/134 ANG MO KIO STREET 12,1.3709897466881378,103.84241897219856,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A30A,BLK 133 ANG MO KIO STREET 12,1.3702181345377287,103.84275860557499,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
A31,BLK 119/128 ANG MO KIO ST 12,1.3704511192782465,103.84369994453289,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A31A,BLK 125/126 ANG MO KIO STREET 12,1.3718593403230488,103.84365816613578,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
A33,BLK 253/254 ANG MO KIO STREET 21,1.3700210113414324,103.8346919457703,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
A34,BLK 422/425 ANG MO KIO ST 42,1.3683564732190312,103.85166737410165,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A35,BLK 426/428/435 ANG MO KIO ST 43,1.3686463926053314,103.85408147411354,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A36,BLK 436/443/445 ANG MO KIO ST 43,1.3664071280973487,103.85527878732988,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A37,BLK 446/449/453 ANG MO KIO ST 43,1.3681130684869125,103.85555655070168,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A38,BLK 407/410/421 ANG MO KIO AVE 10,1.3639637058040253,103.85458838271092,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A39,BLK 401/405 ANG MO KIO AVE 10,1.361151021658676,103.85407215463438,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A4,BLK 217/220 ANG MO KIO AVENUE 1,1.3656916205871399,103.84119216501797,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A40,BLK 471/476 ANG MO KIO ST 44,1.3623561505378559,103.856982085985,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A41,BLK 466/470 ANG MO KIO ST 44,1.3649369353057963,103.85693260004992,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A42,BLK 461/465 ANG MO KIO ST 44,1.3665801816289616,103.85736389239335,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A43,BLK 457/458/460 ANG MO KIO ST 44,1.3659967355493277,103.8592672719767,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A44,BLK 459/456 ANG MO KIO ST 44,1.367205743273231,103.8589905085289,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A45,BLK 570/578 ANG MO KIO ST 51,1.370917693067463,103.85523049600995,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A47,BLK 562/565/560 ANG MO KIO STREET 54,1.3705581670513343,103.85924660891108,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A48,BLK 571/73 ANG MO KIO ST 51,1.370371281457809,103.85465226093015,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A49,BLK 555/559 ANG MO KIO STREET 54,1.3713296059549267,103.85779708766412,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A50,BLK 548/552/556 ANG MO KIO STREET 54,1.3725224642422442,103.85760956795316,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A51,BLK 252/253A ANG MO KIO STREET 21,1.369470739293438,103.83437534502323,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,5.40,N
A52,BLK 701/716 ANG MO KIO AVE 3/6,1.3703854326512537,103.84692254711804,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A52L,BLK 700B/ 700C ANG MO KIO AVE 3/6,1.3692806339821912,103.84613433583972,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.50,N
A53,BLK 712A ANG MO KIO AVE 3/6,1.370865022700113,103.84687730858266,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.80,N
A54,BLK 727/728 ANG MO KIO AVE 6,1.3724343595097739,103.84591535458561,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A55,BLK 729/730 ANG MO KIO AVE 6/8,1.3736385362921213,103.84666686250286,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A56,BLK 725/730 ANG MO KIO AVE 8,1.3726986757337083,103.84714621818347,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A57,BLK 720/723 ANG MO KIO AVE 8,1.3720196104757458,103.84696416467077,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A58,BLK 721/722 ANG MO KIO AVE 8,1.3723470075573287,103.84772411430896,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A59,BLK 547/551 ANG MO KIO ST 54,1.3738962214127284,103.85813978410131,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N
A60,BLK 540/546 ANG MO KIO ST 54,1.3744644954379803,103.85591341875072,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,1.3741704461236162,103.85216001547201,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A63,BLK 501/513/508 ANG MO KIO ST 52/53,1.3752171305295189,103.84939908200668,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A64,BLK 584/586 ANG MO KIO ST 51,1.3705348687012258,103.85346179745221,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A65,BLK 558/560 ANG MO KIO STREET 54,1.371029158960113,103.85941720762483,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A66,BLK 601/604/603 ANG MO KIO AVE 5,1.3805449309084086,103.83566062297832,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A67,BLK 605/612 ANG MO KIO AVE 4/5,1.3796863244461326,103.83780488938889,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A68,BLK 620/624/626 ANG MO KIO ST 61,1.381897618566015,103.83985421482735,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A69,BLK 623/625/627 ANG MO KIO ST 61,1.3816414579421694,103.841945435749,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A7,BLK 212/213 ANG MO KIO STREET 23,1.3683924870216897,103.8413017543888,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A70,BLK 629/626 ANG MO KIO AVE 4,1.3806206411419468,103.84010720676366,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A71,BLK 628/632 ANG MO KIO ST 61,1.3800090936953118,103.84074189671782,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A72,BLK 633/640 ANG MO KIO ST 61,1.3807609626573356,103.84353033817386,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A73,BLK 641/645 ANG MO KIO ST 61,1.378848189137784,103.84082469669613,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A74,BLK 646/649 ANG MO KIO ST 61,1.3786516802837327,103.84380466372671,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A75,BLK 177/182 ANG MO KIO AVE 4,1.376202178062335,103.83868455774709,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A76,BLK 613A ANG MO KIO AVENUE 4,1.377977111891698,103.83883480497552,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,9,2.00,N
A77,BLK 150/156 ANG MO KIO AVE 5,1.3763531493527348,103.83997857029884,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A78,BLK 157/163 ANG MO KIO AVE 4,1.3746947111453895,103.83838679093355,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A8,BLK 209/210 ANG MO KIO STREET 22,1.3687560709932327,103.843307711467,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A81,BLK 170/172 ANG MO KIO ST 13,1.3743555525255577,103.83647879468089,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A82,BLK 173/176 ANG MO KIO AVE 4,1.375674922394817,103.83639865272272,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A83,BLK 5022 TO 5095 ANG MO KIO IND PARK 2,1.3743075596364922,103.8606965409111,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A85,BLK 340 ANG MO KIO ST 32,1.36510737794777,103.84970936855984,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
A86,BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO IND PARK 1,1.3618848908307486,103.85652048735037,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A87,BLK 462/463 ANG MO KIO ST 44,1.3668263587464071,103.8578842373729,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A88,BLK 348 ANG MO KIO AVE 3,1.3662807156719157,103.84726652678984,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
A89,BLK 101/102 ANG MO KIO ST 11,1.3704591830451673,103.8393678459084,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
A9,BLK 202/203 ANG MO KIO STREET 22,1.3680743699781341,103.8443921978058,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A90,BLK 625/627 ANG MO KIO ST 61,1.3820006892151129,103.84124722457139,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A94,BLK 104C ANG MO KIO STREET 11,1.3718598268833135,103.8383159614014,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.00,N
A95,BLK 323A ANG MO KIO AVENUE 3,1.3675186280077751,103.84780380928078,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
A98,BLK 259 ANG MO KIO AVE 2,1.369164310596369,103.83185420964786,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A99,BLK 181 ANG MO KIO AVE 5,1.3769852572551429,103.83721389196872,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N
BA1,106 BIDADARI PARK DRIVE,1.3336526799354937,103.87079839427501,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
BA2,BLK 117 ALKAFF CRESCENT,1.3369045733012812,103.87325519193998,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N
BA3,BLK 101 BIDADARI PARK DRIVE,1.3361578304439936,103.87128293005257,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.20,N
BBB,BLK 232 BRAS BASAH BASEMENT CAR PARK,1.2965800277256125,103.85366320640063,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.90,Y
BBM1,BLK 188A BUKIT BATOK WEST AVE 6,1.3464366536863828,103.74538227425053,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.00,N
BBM2,BLK 628A BUKIT BATOK CENTRAL,1.3508670707092765,103.74988224837884,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N
BBM3,BLK 289H BUKIT BATOK STREET 25,1.344506283225649,103.75991777083962,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
BBM4,BLK 288H BUKIT BATOK STREET 25,1.3455506982843084,103.76017896379179,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N
BBM5,BLK 290H BUKIT BATOK STREET 24,1.3432428850770275,103.75793361152421,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.00,N
BBM6,BLK 291F BUKIT BATOK STREET 24,1.3428596521147578,103.75505234518015,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.00,N
BBM7,BLK 154A BUKIT BATOK WEST AVE 8,1.3473553282589252,103.74369552196029,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.00,N
BBM8,BLK 622A BUKIT BATOK CENTRAL,1.3499692848447977,103.74851052070392,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N
BBM9,BLK 395A BUKIT BATOK WEST AVE 5,1.3658306352822907,103.75177182867174,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N
BE10,BLKS 168-180 BISHAN STREET 13,1.3477410368330691,103.8532954079855,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
BE11,BLK 181-186 BISHAN STREET 13,1.3497794554538223,103.85304135503804,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
BE12,BLK 187-197 BISHAN STREET 13,1.3500135843193575,103.850963018476,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
BE13,BLK 135A BISHAN STREET 12,1.344885540917709,103.85152763920905,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.90,N
